MH_Time;MH_DOY;MH_0.1_m;MH_0.3_m;MH_0.5_m;MH_1.0_m;MH_3.0_m;MH_5.0_m;MH_7_m;IH_Time;IH_DOY;IH_0.1_m;IH_0.3_m;IH_0.5_m;IH_1.0_m;IH_3.0_m;IH_5.0_m
2009-06-15_05:00;166.208;9.547;9.551;9.536;9.569;8.946;6.422;6.177;2009-06-15_05:00;166.208;11.193;11.197;11.235;11.224;11.194;10.132
2009-06-15_06:00;166.250;9.473;9.477;9.462;9.446;8.871;6.498;6.126;2009-06-15_06:00;166.250;11.120;11.124;11.138;11.151;11.145;10.108
2009-06-15_07:00;166.292;9.399;9.403;9.388;9.396;8.747;6.447;6.151;2009-06-15_07:00;166.292;10.998;10.978;11.016;11.005;10.999;10.108
2009-06-15_08:00;166.333;9.350;9.353;9.338;9.347;8.598;6.473;6.126;2009-06-15_08:00;166.333;10.973;10.954;10.992;10.980;10.926;10.083
2009-06-15_09:00;166.375;9.300;9.304;9.289;9.298;8.524;6.498;6.151;2009-06-15_09:00;166.375;10.925;10.929;10.967;10.956;10.926;10.059
2009-06-15_10:00;166.417;9.177;9.180;9.165;9.149;8.474;6.498;6.126;2009-06-15_10:00;166.417;10.900;10.905;10.919;10.932;10.901;10.034
2009-06-15_11:00;166.458;9.202;9.180;9.116;9.026;8.374;6.447;6.126;2009-06-15_11:00;166.458;10.949;10.905;10.919;10.932;10.852;10.010
2009-06-15_12:00;166.500;9.251;9.255;9.215;9.125;8.250;6.447;6.151;2009-06-15_12:00;166.500;10.900;10.880;10.894;10.907;10.852;10.010
2009-06-15_13:00;166.542;9.276;9.279;9.239;9.075;8.225;6.650;6.126;2009-06-15_13:00;166.542;10.925;10.905;10.919;10.907;10.852;9.985
2009-06-15_14:00;166.583;9.103;9.106;9.066;9.050;8.250;6.473;6.126;2009-06-15_14:00;166.583;10.949;10.905;10.919;10.932;10.877;9.960
2009-06-15_15:00;166.625;9.028;9.032;8.992;8.927;8.175;6.498;6.151;2009-06-15_15:00;166.625;10.973;10.929;10.943;10.956;10.901;9.960
2009-06-15_16:00;166.667;9.078;9.081;9.066;9.075;8.175;6.473;6.126;2009-06-15_16:00;166.667;10.973;10.954;10.967;10.980;10.926;9.936
2009-06-15_17:00;166.708;8.954;8.933;8.893;8.852;8.175;6.549;6.126;2009-06-15_17:00;166.708;10.949;10.954;10.967;10.956;10.926;9.911
2009-06-15_18:00;166.750;8.855;8.858;8.843;8.852;8.300;6.574;6.126;2009-06-15_18:00;166.750;10.925;10.905;10.943;10.932;10.901;9.911
2009-06-15_19:00;166.792;8.781;8.784;8.769;8.778;8.324;6.625;6.151;2009-06-15_19:00;166.792;10.876;10.880;10.894;10.907;10.877;9.887
2009-06-15_20:00;166.833;8.756;8.759;8.744;8.753;8.449;6.498;6.126;2009-06-15_20:00;166.833;10.827;10.832;10.845;10.858;10.828;9.887
